SalesOrderID	RevisionNumber	OrderDate	DueDate	ShipDate	Status	OnlineOrderFlag	SalesOrderNumber	PurchaseOrderNumber	AccountNumber	CustomerID	SalesPersonID	TerritoryID	BillToAddressID	ShipToAddressID	ShipMethodID	CreditCardID	CreditCardApprovalCode	CurrencyRateID	SubTotal	TaxAmt	Freight	TotalDue	Comment	rowguid	ModifiedDate
44063	8	2011-07-30 00:00:00.000	2011-08-11 00:00:00.000	2011-08-06 00:00:00.000	5	1	SO44063	NULL	10-4030-011240	11240	NULL	10	23429	23429	1	4428	831740Vi23273	789	3399.99	271.9992	84.9998	3756.989	NULL	A6DB726A-39A3-4D2D-8A90-FEB1EDA7CBDF	2011-08-06 00:00:00.000
44064	8	2011-07-30 00:00:00.000	2011-08-11 00:00:00.000	2011-08-06 00:00:00.000	5	1	SO44064	NULL	10-4030-022050	22050	NULL	6	24246	24246	1	9426	331884Vi48611	784	3578.27	286.2616	89.4568	3953.9884	NULL	CD07DCA1-D06C-4ACE-BE88-9213A552EEB5	2011-08-06 00:00:00.000
44065	8	2011-07-30 00:00:00.000	2011-08-11 00:00:00.000	2011-08-06 00:00:00.000	5	1	SO44065	NULL	10-4030-028062	28062	NULL	4	13473	13473	1	5660	231885Vi29607	NULL	3578.27	286.2616	89.4568	3953.9884	NULL	90426A07-33D3-443E-95B1-03E2F8748548	2011-08-06 00:00:00.000
44066	8	2011-07-30 00:00:00.000	2011-08-11 00:00:00.000	2011-08-06 00:00:00.000	5	1	SO44066	NULL	10-4030-025867	25867	NULL	4	25529	25529	1	11278	1133260Vi58154	NULL	3399.99	271.9992	84.9998	3756.989	NULL	B01AFF41-C81D-42D1-BC2F-B3C76DBECDC4	2011-08-06 00:00:00.000
44067	8	2011-07-30 00:00:00.000	2011-08-11 00:00:00.000	2011-08-06 00:00:00.000	5	1	SO44067	NULL	10-4030-017049	17049	NULL	9	26455	26455	1	13521	633637Vi70050	782	3578.27	286.2616	89.4568	3953.9884	NULL	65B58BC3-78A9-49EA-BC0E-96DAC50E00D7	2011-08-06 00:00:00.000
44068	8	2011-07-31 00:00:00.000	2011-08-12 00:00:00.000	2011-08-07 00:00:00.000	5	1	SO44068	NULL	10-4030-013541	13541	NULL	8	17999	17999	1	10181	231018Vi52538	799	3578.27	286.2616	89.4568	3953.9884	NULL	12E0DA08-DAB8-4EF3-849C-14AF23933AE3	2011-08-07 00:00:00.000
44069	8	2011-07-31 00:00:00.000	2011-08-12 00:00:00.000	2011-08-07 00:00:00.000	5	1	SO44069	NULL	10-4030-028395	28395	NULL	7	29244	29244	1	NULL	NULL	801	3374.99	269.9992	84.3748	3729.364	NULL	23B4E708-9849-4AF1-866F-B134D1D6DF05	2011-08-07 00:00:00.000
44070	8	2011-07-31 00:00:00.000	2011-08-12 00:00:00.000	2011-08-07 00:00:00.000	5	1	SO44070	NULL	10-4030-019829	19829	NULL	6	13311	13311	1	16488	233264Vi85352	797	3374.99	269.9992	84.3748	3729.364	NULL	86700802-1F73-4875-849B-F139815EFFE6	2011-08-07 00:00:00.000
44071	8	2011-07-31 00:00:00.000	2011-08-12 00:00:00.000	2011-08-07 00:00:00.000	5	1	SO44071	NULL	10-4030-016691	16691	NULL	9	24117	24117	1	4758	834542Vi24974	795	3578.27	286.2616	89.4568	3953.9884	NULL	4DFCE193-04B6-452F-A182-1725CE02FDC8	2011-08-07 00:00:00.000
44072	8	2011-07-31 00:00:00.000	2011-08-12 00:00:00.000	2011-08-07 00:00:00.000	5	1	SO44072	NULL	10-4030-016656	16656	NULL	9	14593	14593	1	11841	634639Vi61177	795	3578.27	286.2616	89.4568	3953.9884	NULL	8B31888C-78AF-460C-A1DB-FB985A277E28	2011-08-07 00:00:00.000
