SalesOrderID	RevisionNumber	OrderDate	DueDate	ShipDate	Status	OnlineOrderFlag	SalesOrderNumber	PurchaseOrderNumber	AccountNumber	CustomerID	SalesPersonID	TerritoryID	BillToAddressID	ShipToAddressID	ShipMethodID	CreditCardID	CreditCardApprovalCode	CurrencyRateID	SubTotal	TaxAmt	Freight	TotalDue	Comment	rowguid	ModifiedDate
43813	8	2011-06-26 00:00:00.000	2011-07-08 00:00:00.000	2011-07-03 00:00:00.000	5	1	SO43813	NULL	10-4030-028390	28390	NULL	7	16896	16896	1	10022	431738Vi51601	346	3374.99	269.9992	84.3748	3729.364	NULL	C609E786-5B77-48E3-A1C8-77355F5DED15	2011-07-03 00:00:00.000
43814	8	2011-06-26 00:00:00.000	2011-07-08 00:00:00.000	2011-07-03 00:00:00.000	5	1	SO43814	NULL	10-4030-025866	25866	NULL	1	21939	21939	1	1085	833258Vi5404	NULL	3374.99	269.9992	84.3748	3729.364	NULL	7BD75954-EC0D-4E4E-8629-2AA050A69CAC	2011-07-03 00:00:00.000
43815	8	2011-06-26 00:00:00.000	2011-07-08 00:00:00.000	2011-07-03 00:00:00.000	5	1	SO43815	NULL	10-4030-016494	16494	NULL	9	15915	15915	1	12070	734608Vi62400	340	3578.27	286.2616	89.4568	3953.9884	NULL	F6A9D942-B3B4-463B-AAAF-AF1EAB874361	2011-07-03 00:00:00.000
43816	8	2011-06-26 00:00:00.000	2011-07-08 00:00:00.000	2011-07-03 00:00:00.000	5	1	SO43816	NULL	10-4030-016496	16496	NULL	9	21277	21277	1	14211	734610Vi73710	340	3578.27	286.2616	89.4568	3953.9884	NULL	2AB57617-A5A4-48A2-ACA6-655C0BD30891	2011-07-03 00:00:00.000
43817	8	2011-06-26 00:00:00.000	2011-07-08 00:00:00.000	2011-07-03 00:00:00.000	5	1	SO43817	NULL	10-4030-016519	16519	NULL	9	12674	12674	1	10904	634616Vi56238	340	3578.27	286.2616	89.4568	3953.9884	NULL	1DA0A907-765D-4381-BA2C-9DE4CBE351AD	2011-07-03 00:00:00.000
43818	8	2011-06-26 00:00:00.000	2011-07-08 00:00:00.000	2011-07-03 00:00:00.000	5	1	SO43818	NULL	10-4030-016528	16528	NULL	9	16539	16539	1	13485	134625Vi69865	340	3578.27	286.2616	89.4568	3953.9884	NULL	65AB0ABD-7B92-4AF2-9328-DEFBBC4FD3B7	2011-07-03 00:00:00.000
43819	8	2011-06-26 00:00:00.000	2011-07-08 00:00:00.000	2011-07-03 00:00:00.000	5	1	SO43819	NULL	10-4030-011006	11006	NULL	9	15264	15264	1	5054	935096Vi26471	340	3399.99	271.9992	84.9998	3756.989	NULL	7C99DF39-C367-4AF3-9965-85A32D80670D	2011-07-03 00:00:00.000
43820	8	2011-06-27 00:00:00.000	2011-07-09 00:00:00.000	2011-07-04 00:00:00.000	5	1	SO43820	NULL	10-4030-027651	27651	NULL	4	24200	24200	1	12947	330197Vi66982	NULL	3578.27	286.2616	89.4568	3953.9884	NULL	9C319187-6716-4B90-A514-782948EBCC38	2011-07-04 00:00:00.000
43821	8	2011-06-27 00:00:00.000	2011-07-09 00:00:00.000	2011-07-04 00:00:00.000	5	1	SO43821	NULL	10-4030-027663	27663	NULL	4	24836	24836	1	6912	130199Vi35996	NULL	3578.27	286.2616	89.4568	3953.9884	NULL	8264C761-EA30-4AFE-AC6F-F9AD3F166653	2011-07-04 00:00:00.000
43822	8	2011-06-27 00:00:00.000	2011-07-09 00:00:00.000	2011-07-04 00:00:00.000	5	1	SO43822	NULL	10-4030-027669	27669	NULL	4	20019	20019	1	17504	230204Vi90922	NULL	3578.27	286.2616	89.4568	3953.9884	NULL	A7D40F18-B90F-4F76-9DE2-A90455679548	2011-07-04 00:00:00.000
